PERMCO,GVKEY,BOARD ID,Company,Ticker
50319,162925,637649,ACRES COMMERCIAL REALTY CORP,ACR
59436,41684,3582209,ACRIVON THERAPEUTICS INC,ACRV
59286,41227,3531950,ACTELIS NETWORKS INC,ASNS
54757,16947,2057189,ACTINIUM PHARMACEUTICALS INC,ATNM
12499,180405,725,ACTIVISION BLIZZARD INC,ATVI
16702,122536,16388,ACTUA CORP,ACTA
42401,146017,733,ACUITY BRANDS INC,AYI
58544,38986,3416250,ACUMEN PHARMACEUTICALS INC,ABOS
8028,11929,622034,ACURA PHARMACEUTICALS INC,ACUR
8028,11929,2622265,ACURA PHARMACEUTICALS INC,ACUR
58427,38910,3412624,ACURX PHARMA INC,ACXP
55775,27575,2550543,ACUSHNET HOLDINGS CORP,GOLF
57223,36757,3245130,ACUTUS MEDICAL INC,AFIB
58007,38374,3372427,ACV AUCTIONS INC,ACVA
59459,41688,3590396,ADAMAS ONE CORP,JEWL
54816,20042,2060475,ADAMAS PHARMACEUTICALS INC,ADMS
59,1121,751,ADAMS RESOURCES & ENERGY INC,AE
56269,35852,2778711,ADAPTHEALTH CORP,AHCO
56786,35279,3049405,ADAPTIVE BIOTECH CORP,ADPT
53242,183283,1590331,ADDUS HOMECARE CORP,ADUS
11029,24428,775,ADDVANTAGE TECHNOLOGIES GP,AEY
44631,156153,467631,ADEIA INC,ADEA
55459,26187,2355523,ADESTO TECHNOLOGIES CORP,IOTS
56446,32395,2890038,ADIAL PHARMACEUTICALS,ADIL
56239,36987,2767882,ADICET BIO INC,ACET
55715,27333,2554842,ADIENT PLC,ADNT
57108,35958,3208232,ADITXT INC,ADTX
10683,21116,800,ADM TRONICS UNLIMITED INC/DE,ADMT
55102,17653,2165352,ADMA BIOLOGICS INC,ADMA
8476,12540,808,ADOBE INC,ADBE
55977,31825,2671053,ADOMANI INC -OLD,ADOM.1
56212,32930,2763913,ADT INC,ADT
10992,3905,9109,ADTALEM GLOBAL EDUCATION INC,ATGE
57956,37949,3355953,ADTHEORENT HOLDING COM INC,ADTH
13252,30576,829,ADTRAN HOLDINGS INC,ADTN
42402,145977,95856,ADVANCE AUTO PARTS INC,AAP
55776,16648,2538359,ADVANCED DISPOSAL SERVICES,ADSW
54929,20126,2128031,ADVANCED DRAINAGE SYSTEMS,WMS
45708,156578,741,ADVANCED EMISSIONS SOLUTIONS,ADES
45708,156578,2485054,ADVANCED EMISSIONS SOLUTIONS,ADES
14143,61562,864,ADVANCED ENERGY INDS INC,AEIS
211,1161,881,ADVANCED MICRO DEVICES,AMD
326,1718,887,ADVANCED OXYGEN TECHNOLOGY,AOXY
55684,28070,2536336,ADVANSIX INC,ASIX
50012,27265,571929,ADVANTAGE ENERGY LTD,AAVVF
56823,31803,3059116,ADVANTAGE SOLUTIONS INC,ADV
54600,164511,1996272,ADVAXIS INC-OLD,ADXS.1
56584,38001,2945998,ADVENT TECHNOLOGIES HOLD INC,ADN
54946,21020,2129671,ADVERUM BIOTECHNOLOGIES,ADVM
52247,147988,114467,AECOM,ACM
2366,5978,16156,AEGION CORP,AEGN
55543,24599,2438354,AEGLEA BIOTHERAPEUTICS INC,AGLE
15658,65286,951,AEHR TEST SYSTEMS,AEHR
54882,162453,2073916,AEMETIS INC,AMTX
54601,18749,2000812,AERIE PHARMACEUTICALS INC,AERI
52366,176083,807843,AEROGROW INTERNATIONAL INC,AERO
52366,176083,1332902,AEROGROW INTERNATIONAL INC,AERO
54758,19898,2057814,AEROHIVE NETWORKS INC,HIVE.1
20786,5018,13020,AEROJET ROCKETDYNE HOLDINGS,AJRD
58431,38987,3415440,AEROVATE THERAPEUTICS INC,AVTE
51651,176362,782105,AEROVIRONMENT INC,AVAV
56655,37587,2991439,AERSALE CORP,ASLE
10996,24216,979,AES CORP (THE),AES
37505,63562,748009,AETERNA ZENTARIS INC,AEZS
55344,27983,2305713,AETHLON MEDICAL INC,AEMD
20026,1177,989,AETNA INC,AET
41072,1177,989,AETNA INC,AET
57014,38357,3157625,AEVA TECHNOLOGIES INC,AEVA
53713,293754,66112,AEVI GENOMIC MEDICINE INC,GNMX
57560,39448,3298464,AEYE INC,LIDR
58075,38053,3369316,AFC GAMMA INC,AFCG
32136,65886,1002,AFFILIATED MANAGERS GRP INC,AMG
55915,29499,2717020,AFFINITY BANCSHARES INC,AFBI
57669,37413,3328570,AFFIRM HOLDINGS INC,AFRM
92,1449,1017,AFLAC INC,AFL
10008,14957,1222677,AFTERMASTER INC,AFTM
53803,186671,1709807,AG MORTGAGE INVESTMENT TRUST,MITT
4897,11361,33268,AG&E HOLDINGS INC,AGNUQ
4897,11361,2657390,AG&E HOLDINGS INC,AGNUQ
11473,25180,1044,AGCO CORP,AGCO
54913,27339,2077030,AGEAGLE AERIAL SYSTEMS,UAVS
17936,129466,2278,AGENUS INC,AGEN
56574,34469,2957198,AGEX THERAPEUTICS,AGE
54855,20010,2070809,AGILE THERAPEUTICS INC,AGRX
36364,126554,1060,AGILENT TECHNOLOGIES INC,A
56974,39490,3127219,AGILETHOUGHT INC,AGIL
56006,31954,2682772,AGILITI INC,AGTI
58174,31954,3386850,AGILITI INC,AGTI
58168,38461,3382733,AGILON HEALTH INC,AGL
3580,8599,491487,AGILYSYS INC,AGYS
54476,18159,1967527,AGIOS PHARMACEUTICALS,AGIO
53021,179889,1066214,AGNC INVESTMENT CORP,AGNC
26174,1186,1072,AGNICO EAGLE MINES LTD,AEM
30378,30067,1080,AGREE REALTY CORP,ADC
58545,37547,3419372,AGRIFORCE GROWING SYSTEM LTD,AGRI
57710,37896,3336617,AGRIFY CORP,AGFY
16108,110588,6942,AGRITEK HOLDINGS INC,AGTK
13713,28169,1097,AGRIUM INC,AGU
54731,19525,2044205,AGROFRESH SOLUTIONS INC,AGFS
55978,31656,2673818,AILERON THERAPEUTIC INC,ALRN
14093,62525,14632,AIM IMMUNOTECH INC,AIM
55389,25077,2316938,AIMMUNE THERAPEUTICS INC,AIMT
14880,63446,3556292,AINOS INC,AIMD
54440,166087,1958067,AIR INDUSTRIES GROUP INC,AIRI
53705,186278,1698818,AIR LEASE CORP,AL
20030,1209,1173,AIR PRODUCTS & CHEMICALS INC,APD
6977,1210,1174,AIR T INC,AIRT
46701,155280,533426,AIR TRANSPORT SERVICES GROUP,ATSG
57588,37460,3311317,AIRBNB INC,ABNB
51105,175110,11500,AIRCASTLE LTD,AYR
55667,27703,2506658,AIRGAIN INC,AIRG
58823,39830,3470157,AIRSCULPT TECHNOLO INC,AIRS
37915,137861,1194,AIRSPAN NETWORKS HOLDINGS IN,MIMO
57390,137861,3293044,AIRSPAN NETWORKS HOLDINGS IN,MIMO
12961,29968,1216,AK STEEL HOLDING CORP,AKS
17300,125595,1221,AKAMAI TECHNOLOGIES INC,AKAM
55999,32046,2680801,AKCEA THERAPEUTICS INC,AKCA
54779,19859,2055831,AKEBIA THERAPEUTICS INC,AKBA
56234,35354,2768781,AKERNA CORP,KERN
56789,35267,3046564,AKERO THERAPEUTICS INC,AKRO
58442,38945,3415536,AKILI INC,AKLI
9743,14304,1228,AKORN OPERATING COMPANY LLC,AKRXQ
55883,21042,2631875,AKOUSTIS TECHNOLOGIES INC,AKTS
58193,38527,3382753,AKOYA BIOSNCS INC,AKYA
12025,27960,1259,ALAMO GROUP INC,ALG
44390,123455,746055,ALAMOS GOLD INC,AGI
44390,123455,933562,ALAMOS GOLD INC,AGI
54315,123455,746055,ALAMOS GOLD INC,AGI
54315,123455,933562,ALAMOS GOLD INC,AGI
55297,24135,2300290,ALARM.COM HOLDINGS INC,ALRM
20035,1230,1273,ALASKA AIR GROUP INC,ALK
17395,126555,1275,ALASKA COMMUNICATIONS SYS GP,ALSK
51213,165215,735327,ALAUNOS THERAPEUTICS INC,TCRT
9550,14084,1283,ALBANY INTL CORP  -CL A,AIN
30249,29751,1287,ALBEMARLE CORP,ALB
57098,25645,3205936,ALBERTSONS COS INC,ACI
52284,29018,952385,ALBIREO PHARMA INC,ALBO
54854,20550,2066815,ALCENTRA CAPITAL CORP,ABDC.1
55718,27638,2539638,ALCOA CORP,AA
54856,20033,2066810,ALDER BIOPHARMACEUTICALS INC,ALDR
54005,107757,1237760,ALDERON IRON ORE CORP,AXXDF
54857,20018,2065306,ALDEYRA THERAPEUTICS INC,ALDX
56632,34616,2990559,ALECTOR INC,ALEC
9452,13712,602648,ALERIS CORP,6685B
42517,146500,461968,ALERISLIFE INC,ALR
56887,18434,3081088,ALERUS FINANCIAL CORP,ALRS
54099,11756,1830202,ALEXANDER & BALDWIN INC,ALEX
20041,1257,1351,ALEXANDER'S INC,ALX
31965,64821,1354,ALEXANDRIA R E EQUITIES INC,ARE
52745,166265,647288,ALEXCO RESOURCE CORP,AXU
14394,62263,1355,ALEXION PHARMACEUTICALS INC,ALXN
58277,37781,3389821,ALFI INC,ALFIQ
55798,115044,15293,ALGONQUIN POWER & UTIL CORP,AQN
153,1266,1383,ALICO INC,ALCO
57076,36463,3196593,ALIGHT INC,ALIT
58517,36463,3196593,ALIGHT INC,ALIT
41154,141384,1384,ALIGN TECHNOLOGY INC,ALGN
58011,38238,3373178,ALIGNMENT HEALTHCARE INC,ALHC
57423,37084,3283545,ALIGOS THERAPEUTICS INC,ALGS
53386,180363,1639582,ALIMERA SCIENCES INC,ALIM
53925,175236,1093824,ALIO GOLD INC,ALO
14500,62582,2455626,ALJ REGIONAL HOLDINGS INC,ALJJ
55563,62582,2455626,ALJ REGIONAL HOLDINGS INC,ALJJ
56618,18231,2811906,ALKALINE WATER COMPANY INC,WTER
58194,38329,3382091,ALKAMI TECHNOLOGY INC,ALKT
56442,33721,2885437,ALLAKOS INC,ALLK
59054,322154,2038343,ALLARITY THERAPEUTICS INC,ALLR
58907,39546,3471987,ALLBIRDS INC,BIRD
20043,1274,1413,ALLEGHANY CORP,Y
22775,1274,1413,ALLEGHANY CORP,Y
51547,175007,1000666,ALLEGIANT TRAVEL CO,ALGT
54641,316056,2018327,ALLEGION PLC,ALLE
56448,33758,2837352,ALLEGRO MERGER CORP,ALGR
57417,37309,3291073,ALLEGRO MICROSYSTEMS INC,ALGM
56125,32529,2724089,ALLENA PHARMACEUTICALS,ALNAQ
21206,7437,1431,ALLETE INC,ALE
57851,37749,3343566,ALLIANCE ENTMNT HOLDING CORP,AENT
50723,166363,914699,ALLIANCE HOLDINGS GP LP,AHGP
16779,122915,1467,ALLIANCE RESOURCE PTNRS  -LP,ARLP
20048,14592,566638,ALLIANCEBERNSTEIN HOLDING LP,AB
4980,11554,1476,ALLIANT ENERGY CORP,LNT
4980,11554,33609,ALLIANT ENERGY CORP,LNT
56090,35552,2712781,ALLIED GAMING & ENTERTAI INC,AGAE
11282,24837,1503,ALLIED HEALTHCARE PRODS INC,AHPIQ
13921,61150,9241,ALLIED SECURITY INNOVATIONS,ADSV
2088,5520,645861,ALLIENT INC,ALNT
54712,185495,2038857,ALLIQUA BIOMEDICAL INC,ALQA
54006,177966,1806302,ALLISON TRANSMISSION HLDGS,ALSN
56536,34161,2927408,ALLOGENE THERAPEUTICS,ALLO
57160,36786,3242125,ALLOVIR INC,ALVR
29870,28349,1534,ALLSTATE CORP,ALL
57858,37819,3341525,ALLURION TECHNOLOGIES INC,ALUR
53687,5072,13003,ALLY FINANCIAL INC,ALLY
50013,22570,924579,ALMADEN MINERALS LTD,AAU
8780,13800,1558,ALMOST FAMILY INC,AFAM
45191,264265,117536,ALNYLAM PHARMACEUTICALS INC,ALNY
53387,184604,1640803,ALPHA AND OMEGA SEMICONDUCTO,AOSL
56578,27841,2944533,ALPHA METALLURGICAL RESOURCE,AMR
37130,62072,1578,ALPHA PRO TECH LTD,APT
58492,39051,3412214,ALPHA TEKNOVA INC,TKNO
45483,160329,116351,ALPHABET INC,GOOGL
32022,22882,3204,ALPHA-EN CORP,ALPE
50854,166555,850181,ALPHATEC HOLDINGS INC,ATEC
58824,29531,2121310,ALPINE 4 HOLDINGS INC,ALPP
55316,32245,2297028,ALPINE IMMUNE SCIENCES INC,ALPN
56927,35793,3114655,ALPINE INCOME PROPERTY TRUST,PINE
57565,36005,3302616,ALSET INC,AEI
56692,36206,3020203,ALTA EQUIPMENT GROUP INC,ALTG
55895,30428,2639619,ALTA MESA RESOURCES INC,AMRQQ
55895,30428,3085677,ALTA MESA RESOURCES INC,AMRQQ
55319,23698,2295077,ALTABANCORP,ALTA
56117,32530,2721877,ALTAIR ENGINEERING INC,ALTR
55869,30655,2638015,ALTERYX INC,AYX
184,12088,1647,ALTEX INDUSTRIES INC,ALTX
20373,12485,5460,ALTICE USA INC,ATUS
55965,12485,2671876,ALTICE USA INC,ATUS
17176,124355,1649,ALTIGEN COMMUNICATIONS INC,ATGN
46994,31249,620488,ALTIMMUNE INC,ALT
16147,163595,748451,ALTO INGREDIENTS INC,ALTO
51546,176247,930959,ALTRA INDUSTRIAL MOTION CORP,AIMC
21398,8543,24343,ALTRIA GROUP INC,MO
57321,37351,3059049,ALVOTECH,ALVO
57164,36704,3236154,ALX ONCOLOGY HOLDI INC,ALXO
58428,38791,3406824,ALZAMEND NEURO INC,ALZN
8284,12250,874,AMAG PHARMACEUTICALS INC,AMAG
56481,33625,2895826,AMALGAMATED FINANCIAL CORP,AMAL
54780,19172,2054999,A-MARK PRECIOUS METALS INC,AMRK
15473,64768,1703,AMAZON.COM INC,AMZN
14487,62527,1707,AMB FINANCIAL CORP,AMFC
29052,24287,1712,AMBAC FINANCIAL GROUP INC,AMBC
29052,24287,1951922,AMBAC FINANCIAL GROUP INC,AMBC
54217,15420,1894867,AMBARELLA INC,AMBA
20924,24010,1714,AMBASE CORP,ABCP
54759,19989,2056218,AMBER ROAD INC,AMBR
58327,39018,3408934,AMBRX BIOPHARMA INC,AMAM
54665,177637,2025109,AMC ENTERTAINMENT HOLDINGS,AMC
53816,187406,1710266,AMC NETWORKS INC,AMCX
13913,61122,1734,AMCON DISTRIBUTING CO,DIT
29217,100243,1736,AMCOR PLC,AMCR
56767,100243,1736,AMCOR PLC,AMCR
13269,30612,1742,AMEDISYS INC,AMED
15709,65464,263142,AMEN PROPERTIES INC,AMEN
56487,33999,2936606,AMERANT BANCORP INC,AMTB
21808,10860,1976,AMEREN CORP,AEE
53454,185128,1654280,AMERESCO INC,AMRC
20010,1045,2107,AMERICAN AIRLINES GROUP INC,AAL
20010,1045,1748237,AMERICAN AIRLINES GROUP INC,AAL
20010,1045,2021732,AMERICAN AIRLINES GROUP INC,AAL
53645,185549,1681904,AMERICAN ASSETS TRUST INC,AAT
34964,117861,1757,AMERICAN AXLE & MFG HOLDINGS,AXL
42909,137370,1990,AMERICAN BANK INC/PA,AMBK
20066,1397,1763,AMERICAN BILTRITE INC,ABLT
20066,1397,1795803,AMERICAN BILTRITE INC,ABLT
15905,21136,1764,AMERICAN BIO MEDICA CORP,ABMC
45464,161048,602424,AMERICAN CAMPUS COMMUNITIES,ACC
54710,19545,2035560,AMERICAN CAPITAL SR FLTG LTD,ACSF
54284,178823,1914267,AMERICAN COASTAL INSURA CORP,ACIC
20077,1440,1809,AMERICAN ELECTRIC POWER CO,AEP
16473,177446,1750,AMERICAN ELECTRIC TECH INC,AETI
44699,156383,620944,AMERICAN EQTY INVT LIFE HLDG,AEL
90,1447,1815,AMERICAN EXPRESS CO,AXP
21372,8431,1822,AMERICAN FINANCIAL GROUP INC,AFG
54489,17639,1969498,AMERICAN HOMES 4 RENT,AMH
137,1487,1856,AMERICAN INTERNATIONAL GROUP,AIG
53827,33700,1714749,AMERICAN MIDSTREAM PTNRS LP,AMID.2
261,1526,1888,AMERICAN NATIONAL GROUP INC,ANAT
16487,17367,1886,AMERICAN NATL BANKSHARES,AMNB
13159,23561,15918,AMERICAN NOBLE GAS INC,AMNI
57196,36826,3256274,AMERICAN OUTDOOR BRANDS,AOUT
52854,178797,785698,AMERICAN PUBLIC EDUCATION,APEI
50194,165358,827425,AMERICAN RAILCAR INDS INC,ARII
20098,1545,1913,AMERICAN REALTY INVESTORS,ARL
59165,40723,3506791,AMERICAN REBEL HOLDINGS INC,AREB
55551,26126,2445160,AMERICAN RENAL ASSOCS HLDGS,ARA
56641,25589,3003843,AMERICAN RES CORP,AREC
40193,60983,1922,AMERICAN RIVER BANKSHARES,AMRB
7119,1559,1927,AMERICAN SHARED HSPTL SERV,AMS
5828,1562,1933,AMERICAN SOFTWARE  -CL A,AMSWA
4350,9849,1938,AMERICAN STATES WATER CO,AWR
57209,36037,3259260,AMERICAN STRATEGIC INVEST CO,NYC
11248,24795,1942,AMERICAN SUPERCONDUCTOR CP,AMSC
34770,105365,1954,AMERICAN TOWER CORP,AMT
9002,1585,1960,AMERICAN VANGUARD CORP,AVD
56017,32228,2687264,AMERICAN VIRTUAL CL TECH INC,AVCTQ
52985,179437,1966,AMERICAN WATER WORKS CO INC,AWK
57258,36950,3268369,AMERICAN WELL CORP,AMWL
8418,12379,1968,AMERICAN WOODMARK CORP,AMWD
9023,13602,607817,AMERICA'S CAR-MART INC,CRMT
55838,130525,645199,AMERICAS GOLD & SILVER CORP,USAS
30868,61839,103377,AMERIGAS PARTNERS  -LP,APU
47422,164708,667645,AMERIPRISE FINANCIAL INC,AMP
13092,30222,430,AMERIS BANCORP,ABCB
48766,164572,482661,AMERISAFE INC,AMSF
7407,17269,2039,AMERISERV FINANCIAL INC/PA,ASRV
50484,63798,734842,AMERITYRE CORP,AMTY
13001,30059,1802,AMERN EAGLE OUTFITTERS INC,AEO
45993,31718,800969,AMES NATIONAL CORP,ATLO
57332,36863,3272669,AMESITE INC,AMST
20188,1598,2058,AMETEK INC,AME
32054,1598,2058,AMETEK INC,AME
216,1602,2068,AMGEN INC,AMGN
52292,175008,640267,AMICUS THERAPEUTICS INC,FOLD
16080,110039,2079,AMKOR TECHNOLOGY INC,AMKR
42400,144520,2086,AMN HEALTHCARE SERVICES INC,AMN
14243,18888,1560214,AMNEAL PHARMACEUTICALS INC,AMRX
20192,1613,2096,AMPCO-PITTSBURGH CORP,AP
54881,20659,2079929,AMPHASTAR PHARMACEUTICLS INC,AMPH
27471,14282,2100,AMPHENOL CORP,APH
31967,14282,2100,AMPHENOL CORP,APH
53770,184465,1702677,AMPIO PHARMACEUTICALS INC,AMPE
53962,194755,1741478,AMPLIFY ENERGY CORP,AMPY
54043,194755,2584810,AMPLIFY ENERGY CORP,AMPY
13099,30236,29981,AMPLIPHI BIOSCIENCES CORP,APHB
57904,17396,3351543,AMPLITECH GROUP INC,AMPG
58702,39555,3456113,AMPLITUDE INC,AMPL
59244,40636,3513672,AMPRIUS TECHNOLOGIES INC,AMPX
20193,1618,2110,AMREP CORP,AXR
6244,8864,2123,AMTECH SYSTEMS INC,ASYS
51439,166005,621698,AMTRUST FINANCIAL SERVICES,AFSI
59116,40470,3495163,AMYLYX PHARMACEUTICALS INC,AMLX
53510,184717,1664727,AMYRIS INC,AMRSQ
59220,40833,3520482,AN2 THERAPEUTICS INC,ANTX
20194,11923,2138,ANADARKO PETROLEUM CORP,APC
282,1632,2145,ANALOG DEVICES INC,ADI
173,1633,2146,ANALOGIC CORP,ALOG
55847,26162,2605433,ANAPTYSBIO INC,ANAB
55453,166447,2357108,ANAVEX LIFE SCIENCES CORP,AVXL
53636,181515,1914773,ANCHOR BANCORP/WA,ANCB
21732,10466,30468,ANDEAVOR,ANDV
53719,186206,1698809,ANDEAVOR LOGISTICS LP,ANDX
14382,1659,2177,ANDERSONS INC,ANDE
20196,1650,2182,ANDREA ELECTRONICS CORP,ANDR
58278,38706,3390819,ANEBULO PHARMA INC,ANEB
58328,39039,3408316,ANGEL OAK MORTGAGE REIT INC,AOMR
56057,32502,1735219,ANGI INC,ANGI
45192,264387,480997,ANGIODYNAMICS INC,ANGO
44505,18204,4391,ANI PHARMACEUTICALS INC,ANIP
12119,28209,2234,ANIKA THERAPEUTICS INC,ANIK
6473,12717,7864,ANIXA BIOSCIENCES INC,ANIX
6473,12717,2305769,ANIXA BIOSCIENCES INC,ANIX
6393,6196,2240,ANIXTER INTL INC,AXE
32098,65556,2245,ANNALY CAPITAL MANAGEMENT,NLY
57166,36768,3239391,ANNEXON INC,ANNX
56983,35416,3154166,ANNOVIS BIO INC,ANVS
14744,63080,2257,ANSYS INC,ANSS
15014,63700,2262,ANTARES PHARMA INC,ATRS
41265,63700,2262,ANTARES PHARMA INC,ATRS
52826,178906,1025489,ANTELOPE ENTERPRISE HOLDINGS,AEHL
55200,20961,831605,ANTERIX INC,ATEX
55091,19770,2163792,ANTERO MIDSTREAM PARTNERS LP,AM.2
54570,18465,1993111,ANTERO RESOURCES CORP,AR
53365,183879,1630615,ANTHERA PHARMACEUTCLS INC,ANTH
34672,66654,2292,ANWORTH MTG ASSET CORP,ANH
50961,174022,858092,ANYWHERE REAL ESTATE INC,HOUS
54208,174022,1895265,ANYWHERE REAL ESTATE INC,HOUS
20203,3221,2297,AON PLC,AON
23306,3221,2297,AON PLC,AON
20204,1678,2307,APA CORP,APA
57589,37489,3321632,APARTMENT INCOME REIT CORP,AIRC
30438,30490,2310,APARTMENT INVST & MGMT CO,AIV
56148,26359,2725802,APELLIS PHARMACEUTICALS,APLS
10962,24096,6600,APEX GLOBAL BRANDS INC,APEX
57712,36869,3337363,APEXIGEN INC,APGN
317,1686,2331,APOGEE ENTERPRISES INC,APOG
53205,183606,1612080,APOLLO COMMERCIAL RE FIN INC,ARI
54228,29687,1898054,APOLLO ENDOSURGERY INC,APEN
53688,184254,1695757,APOLLO GLOBAL MGMT INC,APO
56168,32809,3021122,APOLLO MEDICAL HOLDING INC,AMEH
55298,24071,2300312,APPFOLIO INC,APPF
57090,37946,3193628,APPHARVEST INC,APPHQ
55932,31236,2660908,APPIAN CORP,APPN
55250,23977,2287421,APPLE HOSPITALITY REIT INC,APLE
7,1690,2355,APPLE INC,AAPL
44803,146738,582425,APPLIED DIGITAL CORP,APLD
44803,146738,3525508,APPLIED DIGITAL CORP,APLD
55103,106126,2167221,APPLIED DNA SCIENCES INC,APDN
11435,25088,31973,APPLIED ENERGETICS INC,AERG
11435,25088,1744544,APPLIED ENERGETICS INC,AERG
54777,19967,2057471,APPLIED GENETIC TECHNOLOGIES,AGTC
20283,2101,2376,APPLIED INDUSTRIAL TECH INC,AIT
194,1704,2382,APPLIED MATERIALS INC,AMAT
54548,18564,1988113,APPLIED OPTOELECTRONICS INC,AAOI
56733,35091,3031636,APPLIED THERAPEUTICS INC,APLT
57225,36759,3258555,APPLIED UV INC,AUVI
58169,38212,3382543,APPLOVIN CORP,APP
52855,178798,502135,APPROACH RESOURCES INC,AREXQ
55690,27909,2542426,APPTIO INC,APTI
56905,35648,3089357,APREA THERAPEUTICS INC,APRE
57906,37826,3345343,APRIA INC,APR
29805,28176,2411,APTARGROUP INC,ATR
55606,27338,2499663,APTEVO THERAPEUTICS INC,APVO
56396,33643,2829576,APTINYX INC,APTX
34988,118122,8936,APTIV PLC,APTV
53927,118122,1735209,APTIV PLC,APTV
11401,25750,19161,APTOSE BIOSCIENCES INC,APTO
6200,12719,4897,APYX MEDICAL CORP,APYX
44602,12719,4897,APYX MEDICAL CORP,APYX
55345,24422,2314185,AQUA METALS INC,AQMS
