permco,gvkey,boardid,company,ticker,ggroup,gsector,sic,state
20077,1440,1809,AMERICAN ELECTRIC POWER CO,AEP,5510,55,4911,OH
90,1447,1815,AMERICAN EXPRESS CO,AXP,4020,40,6141,NY
137,1487,1856,AMERICAN INTERNATIONAL GROUP,AIG,4030,40,6331,NY
261,1526,1888,AMERICAN NATIONAL GROUP INC,ANAT,4030,40,6311,TX
20098,1545,1913,AMERICAN REALTY INVESTORS,ARL,6010,60,6512,TX
7119,1559,1927,AMERICAN SHARED HSPTL SERV,AMS,3510,35,8090,CA
5828,1562,1933,AMERICAN SOFTWARE  -CL A,AMSWA,4510,45,7372,GA
9002,1585,1960,AMERICAN VANGUARD CORP,AVD,1510,15,2870,CA
20064,1380,1970,HESS CORP,HES,1010,10,1311,NY
20188,1598,2058,AMETEK INC,AME,2010,20,3823,PA
32054,1598,2058,AMETEK INC,AME,2010,20,3823,PA
216,1602,2068,AMGEN INC,AMGN,3520,35,2836,CA
20192,1613,2096,AMPCO-PITTSBURGH CORP,AP,1510,15,3460,PA
30020,1393,1974,U-HAUL HOLDING CO,UHAL,2030,20,7510,NV
20193,1618,2110,AMREP CORP,AXR,6010,60,6552,PA
22177,1414,1636678,PRIMERICA INC,PRI,4030,40,6311,GA
53383,1414,1636678,PRIMERICA INC,PRI,4030,40,6311,GA
282,1632,2145,ANALOG DEVICES INC,ADI,4530,45,3674,MA
173,1633,2146,ANALOGIC CORP,ALOG,3510,35,3845,MA
14382,1659,2177,ANDERSONS INC,ANDE,3010,30,5150,OH
20196,1650,2182,ANDREA ELECTRONICS CORP,ANDR,4520,45,3663,NY
6393,6196,2240,ANIXTER INTL INC,AXE,4520,45,5065,IL
7019,1439,1806,US ECOLOGY INC,ECOL,2020,20,4955,ID
20203,3221,2297,AON PLC,AON,4030,40,6411,
23306,3221,2297,AON PLC,AON,4030,40,6411,
20204,1678,2307,APA CORP,APA,1010,10,1311,TX
317,1686,2331,APOGEE ENTERPRISES INC,APOG,2010,20,3442,MN
7,1690,2355,APPLE INC,AAPL,4520,45,3663,CA
20283,2101,2376,APPLIED INDUSTRIAL TECH INC,AIT,2010,20,5080,OH
194,1704,2382,APPLIED MATERIALS INC,AMAT,4530,45,3559,CA
11512,1743,2573,ARCBEST CORP,ARCB,2030,20,4213,AR
24975,1743,2573,ARCBEST CORP,ARCB,2030,20,4213,AR
20207,1722,2490,ARCHER-DANIELS-MIDLAND CO,ADM,3020,30,2070,IL
20217,1773,2621,ARROW ELECTRONICS INC,ARW,4520,45,5065,CO
7094,4973,12761,ARTHUR J GALLAGHER & CO,AJG,4030,40,6411,IL
357,1783,2660,ARTS WAY MFG INC,ARTW,2010,20,3523,IA
5957,4072,9617,ASCENA RETAIL GROUP INC,ASNAQ,2550,25,5621,NJ
20222,1794,2727,ASHLAND INC,ASH,1510,15,2820,DE
397,1823,2864,ASTRONICS CORP,ATRO,2010,20,3640,NY
5225,1820,2862,ASTRONOVA INC,ALOT,4520,45,3577,RI
6748,4383,2963,ATMOS ENERGY CORP,ATO,5510,55,4924,TX
7623,1878,3118,AUTODESK INC,ADSK,4510,45,7370,CA
20235,1891,3101,AUTOMATIC DATA PROCESSING,ADP,4510,45,7374,NJ
20201,1661,21454,NABORS INDUSTRIES LTD,NBR,1010,10,1381,
20238,1913,3210,AVERY DENNISON CORP,AVY,1510,15,2670,OH
6391,3278,6237,AVIS BUDGET GROUP INC,CAR,2030,20,7510,NJ
20239,1919,3248,AVNET INC,AVT,4520,45,5065,AZ
323,1706,729,ENERPAC TOOL GROUP CORP,EPAC,2010,20,3533,WI
352,1712,2447,TRECORA RESOURCES,TREC,1510,15,2911,TX
430,1926,3344,AZZ INC,AZZ,2010,20,3640,TX
20250,1968,3392,BADGER METER INC,BMI,4520,45,3824,WI
8237,1979,3424,BALCHEM CORP  -CL B,BCPC,1510,15,2834,NY
20257,1988,3439,BALL CORP,BALL,1510,15,3411,CO
589,2005,253576,BANK OF HAWAII CORP,BOH,4010,40,6020,HI
20265,2019,4520,BANK OF NEW YORK MELLON CORP,BK,4020,40,6020,NY
20265,2019,945834,BANK OF NEW YORK MELLON CORP,BK,4020,40,6020,NY
20270,2049,3594,BARNES GROUP INC,B,2010,20,3490,CT
20271,2052,3599,BARNWELL INDUSTRIES,BRN,1010,10,1311,HI
20065,2055,3618,BARRICK GOLD CORP,GOLD,1510,15,1040,ON
676,2080,3652,BASSETT FURNITURE INDS,BSET,2520,25,2511,VA
2664,6733,18892,BATH & BODY WORKS INC,BBWI,2550,25,5990,OH
20277,2086,3684,BAXTER INTERNATIONAL INC,BAX,3510,35,2834,IL
780,2849,7518,BBVA COMPASS BANCSHARES INC,BBVA1,4010,40,6020,TX
780,2849,1713265,BBVA COMPASS BANCSHARES INC,BBVA1,4010,40,6020,TX
29629,5849,4182,BBX CAPITAL CORP,BBX,2530,25,6035,FL
20245,2137,3782,BCE INC,BCE,5010,50,4813,QC
20284,2111,3903,BECTON DICKINSON & CO,BDX,3510,35,3841,NJ
6653,2124,3946,BEL FUSE INC,BELFB,4520,45,3677,NJ
20292,2154,3994,BEMIS CO INC,BMS,1510,15,2670,WI
540,2176,4080,BERKSHIRE HATHAWAY,BRK.B,4020,40,9997,NE
7506,2184,4118,BEST BUY CO INC,BBY,2550,25,5731,MN
4255,3424,29151,BIGLARI HOLDINGS INC,BH,2530,25,5812,TX
116,1837,1069,SOUTHERN CO GAS,SO7,5510,55,4924,GA
655,2220,4311,BIO-RAD LABORATORIES INC,BIO,3520,35,3826,CA
7135,1864,26170,REX AMERICAN RESOURCES CORP,REX,1010,10,2860,OH
511,2259,4560,BLACK HILLS CORP,BKH,5510,55,4911,SD
20309,2269,4621,BLOCK H & R INC,HRB,2530,25,7200,MO
20315,2285,4730,BOEING CO,BA,2010,20,3721,IL
614,2342,4901,BOWL AMERICA INC  -CL A,BWL.A,2530,25,7900,VA
20247,1949,5212,BRT APARTMENTS CORP,BRT,6010,60,6798,NY
7113,2352,4972,BRADY CORP,BRC,2020,20,3990,WI
644,2390,5086,BRIDGFORD FOODS CORP,BRID,3020,30,2013,TX
20330,2393,5089,BRIGGS & STRATTON,BGGSQ,2010,20,3510,WI
714,1982,3428,PROTECTIVE INSURANCE CORP,PTVCB,4030,40,6331,IN
6760,3007,5104,BRINKER INTL INC,EAT,2530,25,5812,TX
20331,2403,5118,BRISTOL-MYERS SQUIBB CO,BMY,3520,35,2834,NY
20328,2369,5011,BROOKFIELD CORP,BN,4020,40,6200,ON
32056,2369,5011,BROOKFIELD CORP,BN,4020,40,6200,ON
20340,2435,5210,BROWN FORMAN CORP,BF.B,3020,30,2085,KY
20344,2444,5227,BRUNSWICK CORP,BC,2520,25,3510,IL
20350,2490,5337,BURLINGTON NORTHERN SANTA FE,BRK3,2030,20,4011,TX
20350,2490,1627023,BURLINGTON NORTHERN SANTA FE,BRK3,2030,20,4011,TX
710,2519,5386,BUTLER NATIONAL CORP,BUKS,2010,20,8741,KS
5220,3310,7569,CA INC,CA,4510,45,7372,NY
20374,2593,5462,CABOT CORP,CBT,1510,15,2890,MA
727,2596,5472,CACI INTL INC  -CL A,CACI,2020,20,7373,VA
6689,2615,5536,CALAMP CORP,CAMP,4520,45,3663,CA
20342,2436,5207,CALERES INC,CAL,2550,25,5661,MO
1222,2628,5549,CALIFORNIA WATER SERVICE GP,CWT,5510,55,4941,CA
20384,2663,5620,CAMPBELL SOUP CO,CPB,3020,30,2030,NJ
27520,2696,6129,CANADIAN NATIONAL RAILWAY CO,CNI,2030,20,4011,QC
20387,2698,5627,CANADIAN PAC KANSAS CITY LTD,CP,2030,20,4011,AB
31687,2698,5627,CANADIAN PAC KANSAS CITY LTD,CP,2030,20,4011,AB
41990,2698,5627,CANADIAN PAC KANSAS CITY LTD,CP,2030,20,4011,AB
904,2942,5676,CANTEL MEDICAL CORP,CMD,3510,35,3845,NJ
27521,2735,5739,CAPITAL PROPERTIES INC,CPTP,6010,60,6519,RI
6262,2751,5811,CARDINAL HEALTH INC,CAH,3510,35,5122,OH
20288,2136,32507,VERIZON COMMUNICATIONS INC,VZ,5010,50,4812,NY
20392,2771,5852,CARLISLE COS INC,CSL,2010,20,2950,AZ
20398,2787,5880,CARPENTER TECHNOLOGY CORP,CRS,1510,15,3312,PA
6515,2807,5971,CASEYS GENERAL STORES INC,CASY,3010,30,5412,IA
20404,2811,6023,CASTLE (A M) & CO,CTAM,2010,20,5051,IL
20408,2817,6052,CATERPILLAR INC,CAT,2010,20,3531,TX
9117,2818,6059,CATO CORP  -CL A,CATO,2550,25,5621,NC
1206,2820,564361,CAVCO INDUSTRIES INC,CVCO,2520,25,2452,AZ
44168,2820,564361,CAVCO INDUSTRIES INC,CVCO,2520,25,2452,AZ
5935,3184,7320,CCOM GROUP INC,CCOM,2010,20,5070,NJ
7177,7092,7648,CCUR HOLDINGS INC,CCUR,4020,40,6500,GA
20939,5742,6271,CENTERPOINT ENERGY INC,CNP,5510,55,4931,TX
6828,2240,22346,NON INVASIVE MONITOR,NIMU,3510,35,9995,FL
27456,3203,6535,CHASE CORP,CCF,1510,15,2891,MA
20435,2960,6573,CHEMED CORP,CHE,3510,35,8082,OH
892,2986,6612,CHESAPEAKE UTILITIES CORP,CPK,5510,55,4923,DE
20440,2991,6627,CHEVRON CORP,CVX,1010,10,2911,CA
20442,2999,6634,CHICAGO RIVET & MACHINE CO,CVR,2010,20,3452,IL
1103,3026,6779,CHURCH & DWIGHT INC,CHD,3030,30,2840,NJ
27849,3028,6783,CHURCHILL DOWNS INC,CHDN,2530,25,7990,KY
857,2547,6837,CIGNA GROUP (THE),CI,3510,35,6324,CT
20357,2547,6837,CIGNA GROUP (THE),CI,3510,35,6324,CT
469,2312,26429,ROBERT HALF INC,RHI,2020,20,7363,CA
20448,3036,5176,CINCINNATI BELL INC,CBB,5010,50,4813,OH
20320,2316,622220,HEXION INC,0141A,1510,15,2821,OH
6304,3062,6877,CINTAS CORP,CTAS,2020,20,7200,OH
20483,3243,6930,CITIGROUP INC,C,4010,40,6199,NY
20325,2337,4900,RESOLUTE FOREST PRODUCTS INC,RFP,1510,15,2621,QC
20325,2337,1011055,RESOLUTE FOREST PRODUCTS INC,RFP,1510,15,2621,QC
20325,2337,1676306,RESOLUTE FOREST PRODUCTS INC,RFP,1510,15,2621,QC
20462,3107,7058,CLEVELAND-CLIFFS INC,CLF,1510,15,3310,OH
20463,3121,7089,CLOROX CO/DE,CLX,3030,30,2842,CA
20361,3439,7147,CMS ENERGY CORP,CMS,5510,55,4931,MI
20363,2558,7150,CNA FINANCIAL CORP,CNA,4030,40,6331,IL
1035,3138,259416,COCA COLA CONSOLIDATED INC,COKE,3020,30,2086,NC
20468,3144,7204,COCA-COLA CO,KO,3020,30,2086,GA
1071,3153,7223,COEUR MINING INC,CDE,1510,15,1040,IL
40157,2408,30372,TELUS CORP,TU,5010,50,4812,BC
1033,3157,7262,COHERENT INC,COHR.1,4520,45,3826,CA
20470,3158,7269,COHU INC,COHU,4530,45,3825,CA
20473,3170,7293,COLGATE-PALMOLIVE CO,CL,3030,30,2844,NY
962,3226,7387,COMCAST CORP,CMCSA,5020,50,4841,PA
43613,3226,7387,COMCAST CORP,CMCSA,5020,50,4841,PA
1261,3231,7401,COMERICA INC,CMA,4010,40,6020,TX
779,3238,7431,COMMERCE BANCSHARES INC,CBSH,4010,40,6020,MO
20484,3246,7443,COMMERCIAL METALS,CMC,1510,15,3312,TX
20345,2448,5229,MATERION CORP,MTRN,1510,15,3330,OH
974,3288,7540,COMPREHENSIVE CARE CORP,CHCR,3510,35,6324,FL
1186,3342,7588,COMPUTER TASK GROUP INC,CTG,4510,45,7370,NY
9654,3358,7609,COMTECH TELECOMMUN,CMTL,4520,45,3663,NY
20495,3362,7619,CONAGRA BRANDS INC,CAG,3020,30,2000,IL
1191,3394,7682,CONNECTICUT WATER SVC INC,CTWS,5510,55,4941,CT
678,2497,19778,MASTEC INC,MTZ,2010,20,1623,FL
20499,3413,7705,CONSOLIDATED EDISON INC,ED,5510,55,4931,NY
1015,2710,7753,CONSTELLATION BRANDS,STZ,3020,30,2082,NY
21814,2504,31815,UNISYS CORP,UIS,4510,45,7373,PA
52253,3469,259357,CONTINENTAL RESOURCES INC,CLR,1010,10,1311,OK
5780,3504,7836,COOPER COS INC (THE),COO,3510,35,3851,CA
20518,3502,7840,COOPER TIRE & RUBBER CO,CTB,2510,25,3011,OH
5122,6013,16260,CORECARD CORPORATION,CCRD,4510,45,7372,GA
20982,6013,16260,CORECARD CORPORATION,CCRD,4510,45,7372,GA
6702,2536,736,LIVERAMP HOLDINGS INC,RAMP,4510,45,7370,CA
20523,3532,7915,CORNING INC,GLW,4520,45,3679,NY
20362,2556,8379,CSS INDUSTRIES INC,CSS,2520,25,2670,PA
1072,3562,8062,COUSINS PROPERTIES INC,CUZ,6010,60,6798,GA
5286,2573,8375,CSP INC,CSPI,4510,45,7373,MA
20370,2574,8383,CSX CORP,CSX,2030,20,4011,FL
23143,2574,8383,CSX CORP,CSX,2030,20,4011,FL
20371,2577,8398,CTS CORP,CTS,4520,45,3670,IL
25727,2578,30359,TELOS CORP/MD,TLS,4510,45,7373,VA
25727,2578,3300614,TELOS CORP/MD,TLS,4510,45,7373,VA
57580,2578,3300614,TELOS CORP/MD,TLS,4510,45,7373,VA
5169,3570,6097,CRACKER BARREL OLD CTRY STOR,CBRL,2530,25,5812,TN
7721,2581,8465,CVD EQUIPMENT CORP,CVV,4530,45,3559,NY
20531,3580,8113,CRANE CO,CR,2010,20,3490,CT
1100,3581,8117,CRAWFORD & CO,CRD.A,4030,40,6411,GA
24567,5621,14744,CRAWFORD UNITED CORP,CRAWA,4520,45,3564,OH
20538,3622,8307,CROWN CRAFTS INC,CRWS,2520,25,2211,LA
20537,3619,461561,CROWN HOLDINGS INC,CCK,1510,15,3411,PA
841,2620,31756,MUFG AMERICAS HOLDINGS CORP,0176A,4010,40,6020,NY
841,2620,1226405,MUFG AMERICAS HOLDINGS CORP,0176A,4010,40,6020,NY
1177,3429,7720,CTO REALTY GROWTH INC,CTO,6010,60,6798,FL
20541,3639,8404,CUBIC CORP,CUB,2010,20,3578,CA
840,3643,8414,CULLEN/FROST BANKERS INC,CFR,4010,40,6020,TX
6342,3647,8415,CULP INC,CULP,2520,25,2211,NC
20543,3650,8426,CUMMINS INC,CMI,2010,20,3510,IN
20546,3662,8446,CURTISS-WRIGHT CORP,CW,2010,20,3728,NC
21185,7241,8468,CVS HEALTH CORP,CVS,3510,35,8000,RI
20556,3734,8660,DANA INC,DAN,2510,25,3714,OH
52956,3734,8660,DANA INC,DAN,2510,25,3714,OH
20557,3735,8663,DANAHER CORP,DHR,3520,35,3826,DC
1239,3761,8717,DATA I/O CORP,DAIO,4520,45,3825,WA
1433,3806,30541,DAWSON GEOPHYSICAL CO,DWSN,1010,10,1382,TX
27333,3806,30541,DAWSON GEOPHYSICAL CO,DWSN,1010,10,1382,TX
20566,3835,8886,DEERE & CO,DE,2010,20,3523,IL
20569,3851,8946,DELTA AIR LINES INC,DAL,2030,20,4512,GA
1303,3855,8973,DELTA NATURAL GAS CO INC,DGAS,5510,55,4923,KY
1285,3863,8991,DELUXE CORP,DLX,2020,20,2780,MN
1300,3908,9112,DEWEY ELECTRONICS CORP,DEWY,2010,20,3621,NJ
20582,3946,9201,DIEBOLD NIXDORF INC,DBD,4520,45,3578,OH
20584,3964,9291,DILLARDS INC  -CL A,DDS,2550,25,5311,AR
20397,2783,25193,PROGRESS ENERGY INC,DUK8,5510,55,4911,NC
20585,3969,9322,DIODES INC,DIOD,4530,45,3674,TX
20587,3980,33048,DISNEY (WALT) CO,DIS,5020,50,4888,CA
2612,6617,18536,DISTRIBUTION SOLUTIO GRO INC,DSGR,2010,20,5072,IL
8762,4001,9412,DIXIE GROUP INC,DXYN,2520,25,2273,GA
9028,4497,9816,DMC GLOBAL INC,BOOM,1010,10,3533,CO
1354,4016,9470,DOLLAR GENERAL CORP,DG,2550,25,5331,TN
1354,4016,1605214,DOLLAR GENERAL CORP,DG,2550,25,5331,TN
53264,4016,9470,DOLLAR GENERAL CORP,DG,2550,25,5331,TN
53264,4016,1605214,DOLLAR GENERAL CORP,DG,2550,25,5331,TN
20592,4029,9491,DOMINION ENERGY INC,D,5510,55,4911,VA
1344,4036,9503,DONALDSON CO INC,DCI,2010,20,3714,MN
20594,4040,9519,DONNELLEY (R R) & SONS CO,RRD,2020,20,2750,IL
20594,4040,3512734,DONNELLEY (R R) & SONS CO,RRD,2020,20,2750,IL
5614,4045,665143,DORCHESTER MINERALS  -LP,DMLP,1010,10,6792,TX
43919,4045,665143,DORCHESTER MINERALS  -LP,DMLP,1010,10,6792,TX
6992,2829,26180,R F INDUSTRIES LTD,RFIL,4520,45,3678,CA
20596,4058,9555,DOVER CORP,DOV,2010,20,3585,IL
20549,3814,9576,DPL INC,AES5,5510,55,4911,OH
20549,3814,1737300,DPL INC,AES5,5510,55,4911,OH
5857,3707,9675,DST SYSTEMS INC,DST,4510,45,7374,MO
31782,3707,9675,DST SYSTEMS INC,DST,4510,45,7374,MO
20574,3897,9693,DTE ENERGY CO,DTE,5510,55,4931,MI
1418,4091,9716,DUCOMMUN INC,DCO,2010,20,3728,CA
20608,4093,867887,DUKE ENERGY CORP,DUK,5510,55,4931,NC
20610,4094,9736,DUN & BRADSTREET HOLDNGS INC,DNB,2020,20,7323,FL
20610,4094,3207796,DUN & BRADSTREET HOLDNGS INC,DNB,2020,20,7323,FL
39133,4094,9736,DUN & BRADSTREET HOLDNGS INC,DNB,2020,20,7323,FL
39133,4094,3207796,DUN & BRADSTREET HOLDNGS INC,DNB,2020,20,7323,FL
57135,4094,3207796,DUN & BRADSTREET HOLDNGS INC,DNB,2020,20,7323,FL
20597,4060,9559,DUPONT DE NEMOURS INC,DD,1510,15,2860,DE
20597,4060,2696655,DUPONT DE NEMOURS INC,DD,1510,15,2860,DE
56027,4060,2696655,DUPONT DE NEMOURS INC,DD,1510,15,2860,DE
1426,3842,9781,DVL INC,DVLN,4010,40,6799,NY
20493,3336,7584,DXC TECHNOLOGY CO,DXC,4510,45,7370,VA
7062,4115,9793,DYCOM INDUSTRIES INC,DY,2010,20,1623,FL
27382,4130,1678345,DYNASIL CORP OF AMERICA,DYSL,4520,45,3827,MA
6593,4124,9830,DYNATRONICS CORP,DYNT,3510,35,3845,MN
20421,2884,6353,LUMEN TECHNOLOGIES INC,LUMN,5010,50,4813,LA
20622,4186,9931,EASTERN CO,EML,2010,20,3420,CT
20625,4193,9938,EASTGROUP PROPERTIES,EGP,6010,60,6798,MS
32019,4193,9938,EASTGROUP PROPERTIES,EGP,6010,60,6798,MS
20626,4194,9941,EASTMAN KODAK CO,KODK,4520,45,3577,NY
20626,4194,2004765,EASTMAN KODAK CO,KODK,4520,45,3577,NY
1451,4201,9963,EATON VANCE CORP,EV,4020,40,6282,MA
1467,4213,10036,ECOLAB INC,ECL,1510,15,2842,MN
1477,4225,10148,EDUCATIONAL DEVELOPMENT CORP,EDUC,2550,25,5190,OK
25268,2940,19429,MAGELLAN HEALTH INC,MGLN,3510,35,8741,AZ
1507,4241,10267,EL PASO ELECTRIC CO,EE.2,5510,55,4911,TX
6507,4274,10351,ELECTRO SCIENTIFIC INDS INC,ESIO,4520,45,3690,OR
1513,4275,10377,ELECTRO-SENSORS INC,ELSE,4520,45,3823,MN
20436,2968,17528,JPMORGAN CHASE & CO,JPM,4010,40,6020,NY
2482,6223,10503,EMCOR GROUP INC,EME,2010,20,1731,CT
14268,6223,10503,EMCOR GROUP INC,EME,2010,20,1731,CT
20643,4321,10535,EMERSON ELECTRIC CO,EMR,2010,20,3823,MO
1519,4322,10536,EMERSON RADIO CORP,MSN,2520,25,3651,NJ
7449,2990,6209,IMUNON INC,IMNN,3520,35,2836,NJ
37489,2990,6209,IMUNON INC,IMNN,3520,35,2836,NJ
2381,6135,10607,ENBRIDGE INC,ENB,1010,10,4924,AB
20649,4351,10644,ENERGEN CORP,EGN,1010,10,4924,AL
20653,4390,10724,ENNIS INC,EBF,2020,20,2761,TX
21201,7366,10750,ENTERGY CORP,ETR,5510,55,4911,LA
20884,5496,14365,ENVIRI CORP,NVRI,2020,20,3390,PA
6252,4415,10826,ENVIRONMENTAL TECTONICS CORP,ETCC,2010,20,3728,PA
1557,4418,10841,ENZO BIOCHEM INC,ENZ,3510,35,8071,NY
6863,4409,10842,ENZON PHARMACEUTICALS INC,ENZN,3520,35,2836,NJ
20662,4430,10909,EQT CORP,EQT,1010,10,4923,PA
20659,4423,10896,EQUIFAX INC,EFX,2020,20,7323,GA
1582,4448,10992,ESCALADE INC,ESCA,2520,25,3949,IN
20666,4450,11037,ESPEY MFG & ELECTRONICS CORP,ESP,2010,20,3679,NY
6996,3105,7047,IHEARTMEDIA INC,IHRT,5020,50,4832,TX
56830,3105,3058565,IHEARTMEDIA INC,IHRT,5020,50,4832,TX
20671,4460,11076,ESTERLINE TECHNOLOGIES CORP,ESL,2010,20,3812,WA
1583,4467,11277,EVANS & SUTHERLAND CMP CORP,ESCC,4520,45,3679,UT
21035,6338,33357,EVERGY INC,EVRG,5510,55,4931,MO
21035,6338,2824528,EVERGY INC,EVRG,5510,55,4931,MO
3080,7295,9662,EVI INDUSTRIES INC,EVI,2010,20,5080,FL
36370,7295,9662,EVI INDUSTRIES INC,EVI,2010,20,5080,FL
7232,4494,11401,EXPEDITORS INTL WASH INC,EXPD,2030,20,4731,WA
54485,3169,1966124,ONCOMED PHARMACEUTICALS,OMED.2,3520,35,2836,CA
20678,4503,11430,EXXON MOBIL CORP,XOM,1010,10,2911,TX
1632,4579,11577,FARMER BROS CO,FARM,3020,30,2090,TX
20695,4601,11648,FEDERAL NATIONAL MORTGA ASSN,FNMA,4010,40,6111,DC
20697,4605,11649,FEDERAL REALTY INVESTMENT TR,FRT,6010,60,6798,MD
20698,4608,11652,FEDERAL SIGNAL CORP,FSS,2010,20,3711,IL
1685,4598,11664,FEDEX CORP,FDX,2030,20,4513,TN
20699,4622,11700,FERRO CORP,FOE,1510,15,2851,OH
1741,4640,324,FIFTH THIRD BANCORP,FITB,4010,40,6020,OH
21113,6791,578078,FIRST ACCEPTANCE CORP,FACO,4030,40,6331,TN
8674,4690,59,FIRST CITIZENS BANCSH  -CL A,FCNCA,4010,40,6020,NC
1717,4707,123,FIRST HARTFORD CORP,FHRT,6010,60,6510,CT
1856,4737,233,FIRST HORIZON CORP,FHN,4010,40,6020,TN
20733,4759,12041,FLANIGANS ENTERPRISES INC,BDL,2530,25,5812,FL
1768,4771,12099,FLEXSTEEL INDUSTRIES INC,FLXS,2520,25,2510,IA
20743,4809,12151,FLOWERS FOODS INC,FLO,3020,30,2050,GA
41367,4809,12151,FLOWERS FOODS INC,FLO,3020,30,2050,GA
1425,4108,12153,FLOWSERVE CORP,FLS,2010,20,3561,TX
20745,4818,12159,FLUOR CORP,FLR,2010,20,1600,TX
41080,4818,12159,FLUOR CORP,FLR,2010,20,1600,TX
20681,4510,12164,FMC CORP,FMC,1510,15,2870,PA
5152,4826,12212,FONAR CORP,FONR,3510,35,8071,NY
20750,4839,12262,FORD MOTOR CO,F,2510,25,3711,MI
6700,3369,24551,RAVE RESTAURANT GROUP INC,RAVE,2530,25,6794,TX
12384,3369,24551,RAVE RESTAURANT GROUP INC,RAVE,2530,25,6794,TX
20751,4842,12274,FOREST CITY REALTY TRUST INC,FCE.A,6010,60,6798,OH
54209,3382,1895230,SHUTTERSTOCK INC,SSTK,5020,50,7370,NY
1852,4860,12373,FOSTER (LB) CO,FSTR,2010,20,5051,PA
1688,4881,12453,FRANKLIN ELECTRIC CO INC,FELE,2010,20,3621,IN
21022,3410,667440,TRANSCONTINENTAL RLTY INVS,TCI,6010,60,6512,TX
6407,4885,12463,FRANKLIN RESOURCES INC,BEN,4020,40,6282,CA
1686,4900,12515,FREQUENCY ELECTRONICS INC,FEIM,4520,45,3825,NY
1824,4903,12533,FRIEDMAN INDUSTRIES INC,FRD,1510,15,3310,TX
1868,4926,12641,FULLER (H. B.) CO,FUL,1510,15,2891,MN
20513,3465,7799,RIVERBEND INDUSTRIES,CUO,2010,20,3585,IL
1892,4990,12818,GAP INC,GPS,2550,25,5651,CA
20773,4941,12886,GATX CORP,GATX,2010,20,4700,IL
20793,5050,12989,GEE GROUP INC,JOB,2020,20,7361,FL
2809,7185,855614,GENCOR INDUSTRIES INC,GENC,2010,20,3567,FL
33,3505,7847,MOLSON COORS BEVERAGE CO,TAP,3020,30,2082,CO
